bathrooms,parkingSpaces,suites,monthlyCondoFee,usableAreas,bedrooms,backyard,barbgrill,bathtub,fireplace,furnished,garden,guestpark,gym,hottub,partyhall,playground,pool,sauna,sportcourt,tenniscourt,imvl_type,address.region,salePrice
4,4,3,2801,240,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,2400000
1,1,1,550,47,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,apartamentos,Sudeste,375000
3,1,1,400,67,2,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,apartamentos,Sudeste,380000
2,1,1,430,69,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,apartamentos,Sudeste,430000
1,2,1,520,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,320000
4,2,2,1890,140,3,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,apartamentos,Sudeste,1880000
2,1,1,1382,67,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Nordeste,120000
3,1,1,600,125,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,595000
2,2,1,600,67,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,450000
3,1,2,954,86,3,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,apartamentos,Sudeste,560000
2,1,1,750,58,2,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,apartamentos,Sudeste,260000
0,1,0,350,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,175000
2,2,1,685,86,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,760000
5,2,2,1514,184,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,985000
1,1,0,280,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,245000
1,1,1,450,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,420000
2,1,1,650,50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,330000
5,4,3,18859,197,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,2685000
3,2,1,1218,94,3,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,apartamentos,Sudeste,790000
2,1,1,250,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,300000
3,2,1,800,228,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,apartamentos,Sudeste,950000
6,3,4,5143,329,4,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,apartamentos,Sudeste,3800000
3,2,1,255,120,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,445000
3,2,1,2070,230,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,2750000
2,1,1,370,65,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,apartamentos,Sudeste,260000
1,1,0,100,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,apartamentos,Sudeste,180000
2,1,1,454,55,2,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,apartamentos,Sudeste,430000
1,2,1,1150,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,600000
3,2,2,150,153,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,580000
2,1,1,60,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,195000
1,1,1,370,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,149000
2,2,1,1900,105,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,apartamentos,Sudeste,1500000
3,1,1,825,85,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,apartamentos,Sudeste,500000
5,3,4,3250,247,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,apartamentos,Sudeste,2250000
2,1,1,746,89,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,400000
2,2,1,550,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,555000
2,1,1,505,66,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,apartamentos,Sudeste,400000
0,0,0,300,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sul,140000
2,1,1,800,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,770000
2,1,1,300,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,330000
2,1,1,480,118,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,420000
4,2,3,1450,130,3,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,apartamentos,Sudeste,1950000
3,3,1,800,106,3,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,apartamentos,Sul,950000
2,2,1,1382,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,530000
2,1,1,320,80,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,250000
2,1,1,680,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,458000
2,2,1,270,59,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,270000
2,2,1,610,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,799900
2,2,1,450,73,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,apartamentos,Sul,429000
2,1,1,1382,55,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,apartamentos,Sudeste,170000
4,2,3,200,122,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,apartamentos,Sudeste,780000
3,2,1,650,88,3,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,apartamentos,Sudeste,800000
2,2,1,580,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,500000
2,1,1,547,69,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,apartamentos,Sudeste,640000
1,1,1,352,52,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,apartamentos,Sudeste,225000
4,2,2,850,110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,1290000
1,1,1,290,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,198000
2,2,1,695,134,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,575000
1,1,1,420,58,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,245000
2,2,2,1382,110,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,750000
1,1,1,500,144,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,369000
3,2,1,2500,234,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,4200000
1,1,0,447,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,330000
2,1,1,420,80,3,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,apartamentos,Sudeste,310000
2,1,1,445,69,3,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,apartamentos,Sudeste,455000
2,1,1,470,60,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,apartamentos,Sudeste,320000
1,1,1,459,69,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,apartamentos,Sudeste,308000
1,1,1,378,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,265000
1,1,1,800,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,540000
2,1,1,420,80,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,apartamentos,Sudeste,495000
2,1,1,150,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,240000
1,1,1,337,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,285000
2,1,1,600,78,3,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,apartamentos,Sudeste,499000
2,3,2,995,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,800000
2,1,1,600,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,444000
1,1,2,2200,178,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,3450000
4,2,3,570,116,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,800000
1,1,1,557,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,350000
2,1,1,234,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,280000
1,1,1,380,50,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,225000
2,1,1,400,70,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,413000
2,1,1,701,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,610000
2,1,1,1382,70,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,490000
2,1,1,330,64,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sul,210000
2,2,1,694,72,3,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,apartamentos,Sudeste,770000
2,0,0,532,81,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,410000
3,2,1,600,98,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,520000
2,2,1,592,97,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,520000
2,1,1,1382,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,270000
1,1,1,220,41,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sul,155000
3,2,2,1100,81,2,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,apartamentos,Sudeste,1400000
3,2,1,520,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,308000
2,1,1,310,86,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,175000
2,1,1,1200,70,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,apartamentos,Sudeste,670000
4,3,2,1200,148,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,1700000
2,1,1,490,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,339200
1,2,1,180,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,180000
0,2,0,310,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,318000
1,1,1,1382,46,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sul,110000
1,1,1,500,90,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,apartamentos,Sudeste,570000
1,1,1,350,35,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,apartamentos,Sudeste,300000
3,2,1,700,116,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,550000
3,0,0,1010,115,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,800000
2,2,1,1200,133,3,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,apartamentos,Sudeste,980000
2,2,1,500,70,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,390000
3,2,1,770,92,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,850000
2,2,1,150,87,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,230000
0,0,1,2641,120,3,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,apartamentos,Sudeste,1000000
3,2,1,740,95,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,810000
2,2,1,620,66,2,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,apartamentos,Sudeste,370000
1,1,1,470,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,260000
2,2,1,600,82,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,apartamentos,Sudeste,460000
4,3,3,2409,180,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,690000
1,1,0,454,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,240000
2,1,1,767,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,848000
