imvl_type,listing.address.state,listing.backyard,listing.barbgrill,listing.bathrooms,listing.bathtub,listing.bedrooms,listing.fireplace,listing.furnished,listing.garden,listing.guestpark,listing.gym,listing.hottub,listing.parkingSpaces,listing.partyhall,listing.playground,listing.pool,listing.pricingInfo.monthlyCondoFee,listing.pricingInfo.salePrice,listing.pricingInfo.yearlyIptu,listing.sauna,listing.sportcourt,listing.suites,listing.tenniscourt,listing.usableAreas
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,1,True,True,True,472,470.000,,True,False,1,False,59
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,1,False,False,False,,250.000,,False,False,1,False,85
apartamentos,rn,False,False,4,False,3,False,False,False,False,False,False,0,False,False,False,,150.000,,False,False,3,False,190
apartamentos,rn,False,True,2,False,2,False,False,True,False,False,False,1,False,False,False,250,115.000,,False,False,1,False,55
apartamentos,rn,False,False,2,False,2,False,False,False,False,False,False,0,False,False,False,,60.000,,False,False,1,False,65
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,2,False,False,False,450,260.000,1.500,False,False,1,False,110
apartamentos,rn,False,False,2,False,2,False,False,True,False,True,False,1,True,True,True,360,379.900,,True,True,1,False,55
apartamentos,rn,False,True,3,False,4,False,False,True,False,True,False,3,False,False,True,,600.000,,False,False,1,False,114
apartamentos,rn,False,False,2,False,2,False,False,False,False,False,False,1,False,False,True,390,280.000,1.600,False,False,1,False,57
apartamentos,rn,False,True,2,False,2,False,False,False,False,False,False,1,False,True,True,614,220.000,126,False,True,1,False,53
apartamentos,rn,False,False,2,False,2,False,False,True,False,False,False,1,True,False,True,510,250.000,1.561,False,False,1,False,54
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,1,False,False,False,1,260.000,1,False,False,1,False,80
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,True,True,True,420,400.000,1.300,False,True,1,False,70
apartamentos,rn,False,True,4,False,3,False,False,True,False,True,False,2,True,True,True,650,610.000,2.200,False,True,1,False,117
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,True,True,True,,420.000,,False,True,1,False,87
apartamentos,rn,False,True,2,False,2,False,False,True,False,True,False,1,True,True,True,300,269.900,1.200,False,True,1,False,55
apartamentos,rn,False,True,4,False,4,False,False,True,False,True,False,2,True,True,True,900,900.000,436,True,False,2,False,130
apartamentos,rn,False,False,4,False,3,False,False,False,False,False,False,2,False,False,False,1.047,539.000,2.780,False,False,1,False,96
apartamentos,rn,False,True,2,False,2,False,False,True,False,False,False,2,False,True,True,175,174.000,1.100,False,True,1,False,56
apartamentos,rn,False,True,2,False,2,False,True,True,False,True,False,1,True,False,True,450,270.000,162,False,False,1,False,57
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,1,False,False,False,500,370.000,,False,False,1,False,68
apartamentos,rn,False,True,4,False,3,False,True,True,False,False,False,2,True,True,True,700,920.000,2.120,False,True,1,False,112
apartamentos,rn,False,True,2,False,2,False,True,False,False,False,False,1,False,False,True,518,340.000,1.599,False,True,1,False,57
apartamentos,rn,False,True,2,False,2,False,True,True,False,True,False,1,True,True,True,600,370.000,2.000,False,False,1,False,62
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,False,,400.000,,False,False,1,False,130
apartamentos,rn,False,False,4,False,4,False,False,False,False,False,False,2,False,False,False,200,397.000,1.000,False,False,1,False,190
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,2,False,False,False,1,260.000,1,False,False,1,False,100
apartamentos,rn,False,False,3,False,3,False,False,False,False,False,False,2,True,True,False,670,450.000,3.430,False,True,1,False,150
apartamentos,rn,False,True,2,False,2,False,False,True,False,False,False,1,False,False,True,530,315.000,1.320,False,False,1,False,67
apartamentos,rn,False,True,3,False,3,False,False,True,False,True,False,2,True,True,True,625,480.000,2.450,False,True,1,False,98
apartamentos,rn,False,True,3,False,3,False,True,True,False,True,False,2,True,True,True,,420.000,,False,True,3,False,80
apartamentos,rn,False,True,4,False,3,False,False,False,False,True,False,2,True,True,True,350,663.874,,True,True,3,False,90
apartamentos,rn,False,True,2,False,3,False,False,False,False,True,False,1,True,True,True,612,330.000,1.030,False,True,1,False,74
apartamentos,rn,False,False,2,False,2,False,False,False,False,False,False,1,True,False,False,,225.000,,False,True,1,False,72
